# 人教版PEP 小学英语 3-6年级 8册 词汇原始数据（调研汇总）
# 格式： [册] W=单词 P=短语；条目 en|zh
# 说明：3a/3b 采用 2024 新版人教PEP；4a-6b 采用经典版(2013修订)。两版并集以获得最大覆盖。

[3a]
W nice|令人愉快的
W driver|司机
W farmer|农民
W nurse|护士
W but|但是
W little|小的
W puppy|小狗
W job|工作
W basketball|篮球
P teacher's desk|讲台
P maths book|数学书
P English book|英语书
P Chinese book|语文书
P pencil box|铅笔盒
P so much|非常
P living room|客厅
P help yourself|请自便
P baby brother|弟弟
P football player|足球运动员
P open the door|开门
P sweep the floor|扫地
P turn on the light|开灯
P put up the picture|张贴图画
P clean the board|擦黑板
P close the window|关窗户
P watch TV|看电视
P have a snack|吃零食
P have a nap|打个盹
P make a salad|做沙拉
P pass me the bowl|把碗递给我
P pass me the knife|把刀递给我
P cut the vegetables|切蔬菜
P use the spoon|用勺子
P use the fork|用叉子

[4b]
W library|图书馆
W playground|操场
W homework|作业
W class|班级
W forty|四十
W way|方向
W breakfast|早餐
W lunch|午餐
W over|结束
W now|现在
W kid|小孩
W thirty|三十
W hurry|快点
W cold|寒冷的
W cool|凉爽的
W warm|温暖的
W hot|热的
W sunny|晴朗的
W windy|有风的
W cloudy|多云的
W snowy|下雪的
W rainy|下雨的
W outside|在户外
W weather|天气
W degree|度
W world|世界
W London|伦敦
W Moscow|莫斯科
W Singapore|新加坡
W Sydney|悉尼
W fly|放风筝
W tomato|西红柿
W potato|土豆
W carrot|胡萝卜
W horse|马
W cow|奶牛
W sheep|绵羊
W hen|母鸡
W these|这些
W yum|味道好
W animal|动物
W those|那些
W goat|山羊
W clothes|衣服
W pants|裤子
W dress|连衣裙
W skirt|裙子
W coat|外套
W sweater|毛衣
W sock|短袜
W shorts|短裤
W jacket|夹克
W shirt|衬衫
W yours|你的
W whose|谁的
W mine|我的
W pack|收拾行李
W wait|等待
W glove|手套
W scarf|围巾
W umbrella|雨伞
W sunglasses|太阳镜
W pretty|漂亮的
W expensive|昂贵的
W cheap|便宜的
W size|尺码
W too|太
W sale|特价
P first floor|一楼
P second floor|二楼
P teacher's office|教师办公室
P computer room|计算机教室
P art room|美术教室
P music room|音乐教室
P next to|紧邻
P English class|英语课
P music class|音乐课
P PE class|体育课
P get up|起床
P go to school|去上学
P go home|回家
P go to bed|上床睡觉
P just a minute|稍等一会儿
P hurry up|快点
P come on|加油
P be careful|小心
P how about|怎么样
P New York|纽约
P green beans|豆角
P try on|试穿
P of course|当然
P all right|好吧
